"Airline","Flight.Status","Destination","Count"
"Alaska","on time","Los.Angeles",497
"Alaska","on time","Phoenix",221
"Alaska","on time","San.Diego",212
"Alaska","on time","San.Francisco",503
"Alaska","on time","Seattle",1841
"Alaska","delayed","Los.Angeles",62
"Alaska","delayed","Phoenix",12
"Alaska","delayed","San.Diego",20
"Alaska","delayed","San.Francisco",102
"Alaska","delayed","Seattle",305
"AM WEST","on time","Los.Angeles",694
"AM WEST","on time","Phoenix",4840
"AM WEST","on time","San.Diego",383
"AM WEST","on time","San.Francisco",320
"AM WEST","on time","Seattle",201
"AM WEST","delayed","Los.Angeles",117
"AM WEST","delayed","Phoenix",415
"AM WEST","delayed","San.Diego",65
"AM WEST","delayed","San.Francisco",129
"AM WEST","delayed","Seattle",61
